window,counter,mode,detected
5,hpmcounter10,drift,18
5,hpmcounter10,jump,20
5,hpmcounter3,drift,20
5,hpmcounter3,jump,20
5,hpmcounter4,drift,18
5,hpmcounter4,jump,20
5,hpmcounter5,drift,18
5,hpmcounter5,jump,20
5,hpmcounter8,drift,18
5,hpmcounter8,jump,20
5,hpmcounter9,drift,17
5,hpmcounter9,jump,12
10,hpmcounter10,drift,18
10,hpmcounter10,jump,20
10,hpmcounter3,drift,18
10,hpmcounter3,jump,20
10,hpmcounter4,drift,17
10,hpmcounter4,jump,20
10,hpmcounter5,drift,17
10,hpmcounter5,jump,20
10,hpmcounter8,drift,17
10,hpmcounter8,jump,20
10,hpmcounter9,drift,20
10,hpmcounter9,jump,16
15,hpmcounter10,drift,13
15,hpmcounter10,jump,20
15,hpmcounter3,drift,14
15,hpmcounter3,jump,20
15,hpmcounter4,drift,12
15,hpmcounter4,jump,20
15,hpmcounter5,drift,11
15,hpmcounter5,jump,20
15,hpmcounter8,drift,13
15,hpmcounter8,jump,20
15,hpmcounter9,drift,19
15,hpmcounter9,jump,16
20,hpmcounter10,drift,12
20,hpmcounter10,jump,20
20,hpmcounter3,drift,12
20,hpmcounter3,jump,20
20,hpmcounter4,drift,12
20,hpmcounter4,jump,20
20,hpmcounter5,drift,12
20,hpmcounter5,jump,20
20,hpmcounter8,drift,12
20,hpmcounter8,jump,20
20,hpmcounter9,drift,18
20,hpmcounter9,jump,15
25,hpmcounter10,drift,13
25,hpmcounter10,jump,20
25,hpmcounter3,drift,13
25,hpmcounter3,jump,20
25,hpmcounter4,drift,13
25,hpmcounter4,jump,20
25,hpmcounter5,drift,13
25,hpmcounter5,jump,20
25,hpmcounter8,drift,13
25,hpmcounter8,jump,20
25,hpmcounter9,drift,13
25,hpmcounter9,jump,11
30,hpmcounter10,drift,13
30,hpmcounter10,jump,20
30,hpmcounter3,drift,13
30,hpmcounter3,jump,20
30,hpmcounter4,drift,13
30,hpmcounter4,jump,20
30,hpmcounter5,drift,12
30,hpmcounter5,jump,20
30,hpmcounter8,drift,13
30,hpmcounter8,jump,20
30,hpmcounter9,drift,12
30,hpmcounter9,jump,11
